Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.16,0,0,30,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.04,0.05,0.002,0.038,600,0,0,0,0,5.00
5,3.198,0,0,21.952,6.35,79.68,599.8,579.9,0,0,0,0,0,0,0.4,0.4,0.7995,0.075,0.0735525,0.7259475,597.8458989,0.184615385,0.673846154,0.33049048,0.895638065,4.98
10,19.31076923,0.384615385,0.923076923,13.04615385,6.949230769,56.09230769,1045.153846,568.5384615,0.906923077,0.02,0.01,0.041538462,0.043076923,0.526923077,2.769230769,3.769230769,4.827692308,0.1,0.561380769,4.266311538,599.6842339,0.99408284,1.644970414,1.72418006,3.10917874,4.88
23,88.01538462,4.538461538,13.84615385,4.024615385,6.94,27.13846154,1599,580.1923077,11.87307692,0.249230769,0.123846154,0.523076923,0.535384615,6.916153846,12.92307692,25.15384615,22.00384615,0.165,3.670615385,18.33323077,628.210206,1.869822485,0.130177515,2.625616248,0.913558688,3.79
28,117.0923077,2.230769231,23.07692308,1.747692308,6.94,20.83076923,1599,576.1538462,12.28846154,0.195384615,0.093076923,0.438461538,0.412307692,7.246923077,17.53846154,25.92307692,29.27307692,0.19,5.583692308,23.68938462,635.9056033,1.98816568,0.01183432,2.829137549,0.710514758,3.48
34,187.05,2,34.9,1.25,6.94,23.92,1599,557.6,12.438,0.155,0.077,0.37,0.23,7.43,32.4,26.2,46.7625,0.26734375,12.75726563,34.00523438,645.7525913,1.882857143,0.12,3.15313297,0.69673369,3.14
47.5,246,2,61,0.8,6.94,29.5,1599,475.25,13.41,0.11,0.05,0.28,0.23,8.15,36,28,61.5,0.4234375,26.04140625,35.45859375,672.020424,1.428571429,0,2.128799392,0.257978723,2.66
55,253.8571429,1.642857143,71.71428571,0.585714286,6.94,24.35714286,1599,471.5,13.41,0.095714286,0.05,0.244285714,0.201428571,8.242857143,42.42857143,28,63.46428571,0.446875,28.37901786,35.08526786,679.2069741,1.344123856,0,2.131423977,0.246787993,2.44
72,248.3103448,1.210344828,94.34482759,0.5,6.949655172,27.70689655,1599,370.3103448,13.41,0.080344828,0.040344828,0.181724138,0.218965517,8.434482759,38.24137931,28,62.07758621,0.499161877,30.98343511,31.0941511,696.9837638,0.769322235,0,0.994671991,0.062969571,2.17
80,246.125,0.075,100.625,0.5,6.95,23.9625,1599,354.5625,13.41,0.08,0.04,0.170625,0.22,8.468125,38,28,61.53125,0.511111111,31.44898003,30.08226997,699.4704894,0.862092391,0,1.163619561,0.076379401,2.03
95,232.7142857,0.9,112.7142857,0.5,6.95,25.84285714,1599,336.7857143,13.41,0.07,0.03,0.145714286,0.23,8.524285714,37,28,58.17857143,0.531944444,30.94181548,27.23675595,704.2607203,0.632653061,0.387755102,1.034897253,0.529129651,1.85
102,225,0.9,117.1428571,0.714285714,6.95,27.14285714,1516.428571,329.7142857,14.87,0.072857143,0.031428571,0.148571429,0.245714286,9.067142857,37,30.71428571,56.25,0.541666667,30.45625,25.79375,708.0660515,0.707482993,1.06122449,1.638357983,1.454164675,1.77
120,213,0.9,130,2,6.95,22.6,1021,337,23.63,0.09,0.04,0.2,0.34,12.29,37,47,53.25,0.566666667,30.175,23.075,729.1054749,0.666666667,2,2.031896953,2.888334776,1.57
140,192.1666667,0.9,143.3333333,4.083333333,6.95,24.43333333,1021.833333,367.8333333,45.13833333,0.14,0.065,0.316666667,0.581666667,21.35666667,37,87,48.04166667,0.594444444,28.52916667,19.5125,774.1767762,0.111111111,0.333333333,0.338649492,0.481389129,1.54
