Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.16,0,0,30,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.04,0.05,0.002,0.038,600,0,0,0,0,5.00
5,8.632,0,0,5.58,5.97,81,500,582.5,0,0,0,0,0,0,1,0,2.158,0.075,0.16185,1.99615,597.4356223,2.22E-16,-2.22E-16,-4.44E-16,4.44E-16,4.99
10,14.372,0.224,1.294,5.336666667,6.016666667,35.23333333,878.6,566.5606667,0.571333333,0.011333333,0.005333333,0.024,0.034666667,0.360666667,2.533333333,1.266666667,3.593,0.1,0.42321,3.16979,597.4962254,1.4009,1.198888889,2.515010526,2.250351081,4.87
23,61.848,3.136,18.116,5.293333333,6.883333333,36.96666667,990.4,580.3493333,7.998666667,0.158666667,0.074666667,0.336,0.485333333,5.049333333,9.466666667,17.73333333,15.462,0.165,2.61514,12.84686,624.9737204,2.7906,0.317777778,4.502748273,1.44615251,3.37
28,77.1,3.696,31,3.9,6.94,29.4,999,542,9.1,0.12,0.06,0.33,0.47,5.5,12,20,19.275,0.19,3.66225,15.61275,638.6571429,3.6,0.2,5.97375345,1.217322907,2.94
34,108.2133333,4.0488,52.97866667,3.179333333,6.936,20.94,999,546.8453333,10.106,0.099333333,0.05,0.294,0.385333333,6.286666667,16.26666667,21.86666667,27.05333333,0.271,7.616866667,19.43646667,660.0677488,3.915555556,0.922222222,7.297722818,1.991931095,2.38
47.5,208.2933333,3.1416,106.6906667,2.495333333,6.882,18.78,999,592.0073333,16.397,0.090333333,0.05,0.348,0.322333333,10.83166667,33.36666667,33.56666667,52.07333333,0.4195,21.99256667,30.08076667,720.2132743,3.063555556,1.672222222,6.291862669,2.850593641,1.51
55,242.8,2.0496,129.904,2.771,6.922,32.49,999,605.804,23.035,0.111,0.057,0.413,0.376,15.382,40.3,45.9,60.7,0.446875,27.1975,33.5025,753.2759181,2.3596,2.11,5.175257845,3.378151211,1.26
72,261,1.26,168,3.87,6.95,25.5,999,650,42.99,0.19,0.09,0.6,0.64,31.6,50,83,65.25,0.5,32.625,32.625,821.7370856,1.058823529,1.647058824,2.59894024,2.491077586,1.05
80,257.2352941,0.864705882,176.4705882,4.933529412,6.95,53.07647059,999,620.5882353,50.07705882,0.199411765,0.099411765,0.628235294,0.743529412,35.44,48.11764706,96.17647059,64.30882353,0.511111111,32.86830065,31.44052288,840.8101694,0.669494363,1.311307066,1.611072882,1.893388703,1.01
95,252.3225806,0.84,186.3548387,9.27516129,6.95,63.59354839,999,625.5322581,60.57645161,0.237419355,0.118709677,0.639354839,0.890322581,43.17322581,48,115.7096774,63.08064516,0.531944444,33.55377464,29.52687052,863.3155036,0.551887239,0.933686501,1.167247955,1.327854038,0.96
102,248.2972973,0.84,190.3243243,9.548108108,6.95,61.68918919,999,616.2432432,64.13432432,0.240540541,0.12027027,0.628918919,0.942972973,45.84567568,48,122.3243243,62.07432432,0.541666667,33.61920045,28.45512387,870.5715291,0.649135622,0.641252739,1.135921377,0.964102976,0.93
120,223,0.84,202,11.28,6.95,54.1,999,616,70.41,0.26,0.13,0.59,1.05,50.73,48,134,55.75,0.566666667,31.59166667,24.15833333,885.2723452,0.666666667,0.375,1.001758371,0.594807861,0.86
140,196.3333333,0.84,215.3333333,12.68,6.95,55.43333333,999,614.3333333,74.44333333,0.26,0.13,0.531666667,1.183333333,54.03,45.5,141.5,49.08333333,0.594444444,29.14027778,19.94305556,896.3703365,0.111111111,0.0625,0.166959729,0.099134644,0.85
